Cluster,E_centroid,S_centroid,G_centroid,n
1,2.3551999999999995,12.164,8.6448,125
2,12.55983606557377,10.071311475409836,6.104918032786885,122
3,3.5049180327868856,6.29016393442623,5.827322404371585,183
